ID	xref	prefLabel
ID	A OboInOwl:hasDbXref	A skos:prefLabel
http://purl.obolibrary.org/obo/NCBITaxon_1		root
http://purl.obolibrary.org/obo/NCBITaxon_117570		Teleostomi
http://purl.obolibrary.org/obo/NCBITaxon_117571		Euteleostomi
http://purl.obolibrary.org/obo/NCBITaxon_131567		cellular organisms
http://purl.obolibrary.org/obo/NCBITaxon_1338369		Dipnotetrapodomorpha
http://purl.obolibrary.org/obo/NCBITaxon_1437010		Boreoeutheria
http://purl.obolibrary.org/obo/NCBITaxon_207598		Homininae
http://purl.obolibrary.org/obo/NCBITaxon_2759		Eukaryota
http://purl.obolibrary.org/obo/NCBITaxon_314146		Euarchontoglires
http://purl.obolibrary.org/obo/NCBITaxon_314293		Simiiformes
http://purl.obolibrary.org/obo/NCBITaxon_314295		Hominoidea
http://purl.obolibrary.org/obo/NCBITaxon_32523		Tetrapoda
http://purl.obolibrary.org/obo/NCBITaxon_32524		Amniota
http://purl.obolibrary.org/obo/NCBITaxon_32525		Theria <mammals>
http://purl.obolibrary.org/obo/NCBITaxon_33154		Opisthokonta
http://purl.obolibrary.org/obo/NCBITaxon_33208		Metazoa
http://purl.obolibrary.org/obo/NCBITaxon_33213		Bilateria
http://purl.obolibrary.org/obo/NCBITaxon_33511		Deuterostomia
http://purl.obolibrary.org/obo/NCBITaxon_376913		Haplorrhini
http://purl.obolibrary.org/obo/NCBITaxon_40674		Mammalia
http://purl.obolibrary.org/obo/NCBITaxon_6072		Eumetazoa
http://purl.obolibrary.org/obo/NCBITaxon_7711		Chordata
http://purl.obolibrary.org/obo/NCBITaxon_7742		Vertebrata <vertebrates>
http://purl.obolibrary.org/obo/NCBITaxon_7776		Gnathostomata <vertebrates>
http://purl.obolibrary.org/obo/NCBITaxon_8287		Sarcopterygii
http://purl.obolibrary.org/obo/NCBITaxon_89593		Craniata <chordates>
http://purl.obolibrary.org/obo/NCBITaxon_9347		Eutheria
http://purl.obolibrary.org/obo/NCBITaxon_9443		Primates
http://purl.obolibrary.org/obo/NCBITaxon_9526		Catarrhini
